,lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
AMZN,100,150,75,32,adam,0.0027902224101126
AVY,150,100,75,32,adam,0.00180786276469
AXON,100,50,50,32,adam,0.0096919393166899
BBWI,150,50,75,32,adam,0.0087461290182545
BKNG,100,50,50,32,adam,0.0032575070858001
BLDR,100,50,50,32,adam,0.0114850484766066
CBRE,100,150,75,32,adam,0.0032064522383734
CDNS,100,100,75,32,adam,0.0021765327313914
CE,150,50,75,32,adam,0.0028801787178963
CF,150,100,50,32,adam,0.0044493497814983
CHD,100,150,50,32,adam,0.0013369637425057
CMCSA,100,100,75,32,adam,0.0018211953807622
CMS,150,150,50,32,adam,0.001148303982336
CNC,150,100,75,32,adam,0.0031781108817085
COST,150,150,50,32,adam,0.0012164809042587
DECK,150,150,50,32,adam,0.0031345628667622
DLTR,100,150,50,32,adam,0.0025841544149443
EA,150,100,50,32,adam,0.0028805932961404
EQIX,150,100,50,32,adam,0.0013077289797365
FI,150,100,50,32,adam,0.0014081147150136
FICO,150,150,75,32,adam,0.0022699834196828
GOOGL,100,150,50,32,adam,0.0020336830755695
INCY,150,100,50,32,adam,0.0058047543745487
LULU,150,100,75,32,adam,0.0053633078001439
MA,150,50,75,32,adam,0.00163197122165
MOH,150,50,50,32,adam,0.0045041889650747
NDAQ,150,150,50,32,adam,0.0016354679362848
NI,100,50,50,32,adam,0.0009698118316009
NVDA,150,50,50,32,adam,0.005547825153917
ODFL,100,150,75,32,adam,0.0023772441083565
OKE,150,150,50,64,adam,0.0059797313529998
PKG,150,100,50,32,adam,0.0022657103603705
SBAC,150,50,75,32,adam,0.0018445021938532
STLD,100,150,75,32,adam,0.0038932591676712
TDG,100,150,50,32,adam,0.0033448769012466
TGT,150,100,50,32,adam,0.0024504805915057
TYL,100,100,75,32,adam,0.0025992095470428
UNH,100,100,75,32,adam,0.0016755567630752
URI,100,50,75,32,adam,0.0063234380446374
V,150,100,50,32,adam,0.0013826431240886
VLO,100,100,50,32,adam,0.0059294982580468
WST,150,150,75,32,adam,0.0022462170105427
